edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources
EDGE,unconstrained,validation_evidence,5,0,83,0
EDGE,unconstrained,validation_evidence,10,0,44,0
EDGE,unconstrained,validation_evidence,19,0,47,0
EDGE,unconstrained,validation_evidence,31,0,24,0
EDGE,unconstrained,validation_evidence,35,0,55,0
EDGE,unconstrained,validation_evidence,11,0,41,0
EDGE,unconstrained,validation_evidence,28,0,17,0
EDGE,unconstrained,validation_evidence,8,0,47,0
EDGE,unconstrained,validation_evidence,36,0,8,0
EDGE,unconstrained,validation_evidence,32,0,4,0
EDGE,unconstrained,validation_evidence,39,0,3,0
EDGE,unconstrained,validation_evidence,30,0,1,0
EDGE,single_risk,risk,32,0,42,0
EDGE,single_risk,risk,10,0,49,0
EDGE,single_risk,risk,9,0,111,0
EDGE,single_risk,risk,2,0,206,0
EDGE,single_risk,risk,6,0,74,0
EDGE,single_risk,risk,7,0,60,0
EDGE,single_risk,risk,1,0,101,0
EDGE,single_risk,risk,14,0,84,0
EDGE,single_risk,risk,29,0,31,0
EDGE,single_risk,risk,27,0,87,0
EDGE,single_risk,risk,15,0,92,0
EDGE,single_risk,risk,11,0,71,0
EDGE,single_risk,risk,20,0,145,0
EDGE,single_risk,risk,28,0,74,0
EDGE,single_risk,risk,0,0,200,0
EDGE,single_risk,risk,34,0,69,0
EDGE,single_risk,risk,26,0,111,0
EDGE,single_risk,risk,22,0,24,0
EDGE,single_risk,risk,18,0,65,0
EDGE,single_risk,risk,25,0,79,0
EDGE,single_risk,risk,31,0,27,0
EDGE,single_risk,risk,21,0,88,0
EDGE,single_risk,risk,4,0,33,0
EDGE,single_risk,risk,8,0,18,0
EDGE,single_risk,risk,30,0,54,0
EDGE,single_risk,risk,23,0,9,0
EDGE,single_risk,risk,3,0,99,0
EDGE,single_risk,risk,13,0,51,0
EDGE,single_risk,risk,39,0,6,0
EDGE,single_risk,risk,12,0,23,0
EDGE,single_risk,risk,16,0,48,0
EDGE,single_risk,risk,24,0,123,0
EDGE,single_risk,risk,33,0,21,0
EDGE,single_risk,risk,35,0,3,0
EDGE,single_risk,risk,17,0,61,0
EDGE,single_risk,risk,19,0,52,0
EDGE,single_risk,risk,36,0,24,0
EDGE,single_risk,risk,37,0,9,0
EDGE,single_risk,risk,5,0,4,0
EDGE,single_risk,risk,38,0,1,0
EDGE,single_risk,intervention,15,0,97,0
EDGE,single_risk,intervention,9,0,113,0
EDGE,single_risk,intervention,17,0,109,0
EDGE,single_risk,intervention,4,0,103,0
EDGE,single_risk,intervention,22,0,89,0
EDGE,single_risk,intervention,5,0,214,0
EDGE,single_risk,intervention,39,0,39,0
EDGE,single_risk,intervention,19,0,215,0
EDGE,single_risk,intervention,10,0,88,0
EDGE,single_risk,intervention,32,0,63,0
EDGE,single_risk,intervention,30,0,62,0
EDGE,single_risk,intervention,2,0,153,0
EDGE,single_risk,intervention,16,0,28,0
EDGE,single_risk,intervention,36,0,65,0
EDGE,single_risk,intervention,18,0,99,0
EDGE,single_risk,intervention,3,0,195,0
EDGE,single_risk,intervention,8,0,106,0
EDGE,single_risk,intervention,33,0,10,0
EDGE,single_risk,intervention,6,0,81,0
EDGE,single_risk,intervention,1,0,44,0
EDGE,single_risk,intervention,13,0,180,0
EDGE,single_risk,intervention,27,0,27,0
EDGE,single_risk,intervention,21,0,27,0
EDGE,single_risk,intervention,11,0,47,0
EDGE,single_risk,intervention,14,0,64,0
EDGE,single_risk,intervention,7,0,88,0
EDGE,single_risk,intervention,24,0,36,0
EDGE,single_risk,intervention,37,0,41,0
EDGE,single_risk,intervention,12,0,11,0
EDGE,single_risk,intervention,20,0,26,0
EDGE,single_risk,intervention,0,0,24,0
EDGE,single_risk,intervention,38,0,17,0
EDGE,single_risk,intervention,26,0,16,0
EDGE,single_risk,intervention,34,0,6,0
EDGE,single_risk,intervention,25,0,36,0
EDGE,single_risk,intervention,35,0,36,0
EDGE,single_risk,intervention,29,0,23,0
EDGE,single_risk,intervention,31,0,17,0
EDGE,single_risk,intervention,28,0,13,0
EDGE,single_risk,intervention,23,0,6,0
EDGE,single_risk,all_concepts,39,0,307,0
EDGE,single_risk,all_concepts,21,0,358,0
EDGE,single_risk,all_concepts,4,0,172,0
EDGE,single_risk,all_concepts,31,0,353,0
EDGE,single_risk,all_concepts,37,0,131,0
EDGE,single_risk,all_concepts,14,0,432,0
EDGE,single_risk,all_concepts,15,0,284,0
EDGE,single_risk,all_concepts,9,0,739,0
EDGE,single_risk,all_concepts,11,0,68,0
EDGE,single_risk,all_concepts,3,0,1017,0
EDGE,single_risk,all_concepts,28,0,120,0
EDGE,single_risk,all_concepts,19,0,578,0
EDGE,single_risk,all_concepts,10,0,524,0
EDGE,single_risk,all_concepts,20,0,347,0
EDGE,single_risk,all_concepts,24,0,601,0
EDGE,single_risk,all_concepts,32,0,258,0
EDGE,single_risk,all_concepts,2,0,270,0
EDGE,single_risk,all_concepts,5,0,483,0
EDGE,single_risk,all_concepts,13,0,607,0
EDGE,single_risk,all_concepts,16,0,595,0
EDGE,single_risk,all_concepts,18,0,197,0
EDGE,single_risk,all_concepts,8,0,301,0
EDGE,single_risk,all_concepts,30,0,90,0
EDGE,single_risk,all_concepts,0,0,766,0
EDGE,single_risk,all_concepts,17,0,193,0
EDGE,single_risk,all_concepts,38,0,201,0
EDGE,single_risk,all_concepts,27,0,232,0
EDGE,single_risk,all_concepts,22,0,69,0
EDGE,single_risk,all_concepts,29,0,75,0
EDGE,single_risk,all_concepts,7,0,582,0
EDGE,single_risk,all_concepts,33,0,121,0
EDGE,single_risk,all_concepts,36,0,36,0
EDGE,single_risk,all_concepts,6,0,307,0
EDGE,single_risk,all_concepts,26,0,38,0
EDGE,single_risk,all_concepts,23,0,16,0
