node_type,mode,threshold_1,threshold_2,ari,n_common_nodes,distance
implementation_mechanism,both,EDGE,0.85,0.5792157144835477,2294,2
implementation_mechanism,both,EDGE,0.9,0.7091624659393748,2326,3
implementation_mechanism,both,EDGE,0.95,0.7039600340775762,2328,4
implementation_mechanism,both,0.8,0.85,0.6016917414481665,2697,1
implementation_mechanism,both,0.8,0.9,0.5030606880319134,2310,2
implementation_mechanism,both,0.8,0.95,0.446084418710326,2219,3
implementation_mechanism,both,0.85,0.9,0.6220201207588656,2419,1
implementation_mechanism,both,0.85,0.95,0.5655192413818847,2296,2
implementation_mechanism,both,0.9,0.95,0.7835790737055706,2329,1
validation_evidence,unconstrained,EDGE,0.8,0.4120914951915897,2224,1
validation_evidence,unconstrained,EDGE,0.85,0.4539937155908672,2308,2
validation_evidence,unconstrained,EDGE,0.9,0.655303521152494,2348,3
validation_evidence,unconstrained,EDGE,0.95,0.6414041432288234,2354,4
validation_evidence,unconstrained,0.8,0.85,0.6354853115081155,2706,1
validation_evidence,unconstrained,0.8,0.9,0.48575964870424043,2295,2
validation_evidence,unconstrained,0.8,0.95,0.49562163082834704,2225,3
validation_evidence,unconstrained,0.85,0.9,0.5341264974431061,2405,1
validation_evidence,unconstrained,0.85,0.95,0.5303407277106433,2310,2
validation_evidence,unconstrained,0.9,0.95,0.6631205618040377,2351,1
validation_evidence,single_risk,EDGE,0.8,0.45523125307645923,2222,1
validation_evidence,single_risk,EDGE,0.85,0.4387708417460288,2306,2
validation_evidence,single_risk,EDGE,0.9,0.6504080672746001,2347,3
validation_evidence,single_risk,EDGE,0.95,0.7247514829411643,2352,4
validation_evidence,single_risk,0.8,0.85,0.6301468199563813,2665,1
validation_evidence,single_risk,0.8,0.9,0.5063677070349337,2276,2
validation_evidence,single_risk,0.8,0.95,0.5073962338487982,2223,3
validation_evidence,single_risk,0.85,0.9,0.5122107808811164,2386,1
validation_evidence,single_risk,0.85,0.95,0.5141146305685613,2308,2
validation_evidence,single_risk,0.9,0.95,0.6051216879734098,2349,1
validation_evidence,monotonic,EDGE,0.8,0.4700044295674251,2163,1
validation_evidence,monotonic,EDGE,0.85,0.5371419335456811,2249,2
validation_evidence,monotonic,EDGE,0.9,0.6322929478151817,2292,3
validation_evidence,monotonic,EDGE,0.95,0.7192987842865255,2296,4
validation_evidence,monotonic,0.8,0.85,0.5743104983714246,2479,1
validation_evidence,monotonic,0.8,0.9,0.4738117509831818,2204,2
validation_evidence,monotonic,0.8,0.95,0.474249307780728,2164,3
validation_evidence,monotonic,0.85,0.9,0.4926405047478547,2320,1
validation_evidence,monotonic,0.85,0.95,0.48085795299316053,2251,2
validation_evidence,monotonic,0.9,0.95,0.6059822713360941,2295,1
validation_evidence,both,EDGE,0.8,0.5229674501596407,2160,1
validation_evidence,both,EDGE,0.85,0.5468852450046303,2248,2
validation_evidence,both,EDGE,0.9,0.6440508854871952,2292,3
validation_evidence,both,EDGE,0.95,0.701072016480046,2296,4
validation_evidence,both,0.8,0.85,0.5964649620579934,2439,1
validation_evidence,both,0.8,0.9,0.4969229410189149,2197,2
validation_evidence,both,0.8,0.95,0.49681218919508613,2161,3
validation_evidence,both,0.85,0.9,0.5582329286480275,2314,1
validation_evidence,both,0.85,0.95,0.5415072166777831,2250,2
validation_evidence,both,0.9,0.95,0.6665331518084797,2294,1
