node_type,edge_config,mode,silhouette_mean,edge_validation_mean,n_clusters,path_length_mean
all_concepts,EDGE,monotonic,0.3080680593848228,1.0,61.0,6.788245986064829
all_concepts,EDGE,both,0.3074493631720543,1.0,61.0,6.739306899781455
all_concepts,0.8,unconstrained,0.3780267536640167,0.4246792300796205,109.0,12.03663892599518
all_concepts,0.8,single_risk,0.3945150524377823,0.4560301625778722,102.0,10.57770343067763
all_concepts,0.8,monotonic,0.3876021951436996,0.4962761469823251,99.0,9.737096052456952
all_concepts,0.8,both,0.3865845948457718,0.513922198739044,98.0,8.36536247763554
all_concepts,0.85,unconstrained,0.3766130805015564,0.5379485537791294,94.0,13.599068075657982
all_concepts,0.85,single_risk,0.3674831390380859,0.6157731664470136,100.0,11.21277298240649
all_concepts,0.85,monotonic,0.3837045729160309,0.6389045551660909,87.0,10.148250165198064
all_concepts,0.85,both,0.3644327670335769,0.6762575465559231,87.0,8.661824196767292
all_concepts,0.9,unconstrained,0.35725998878479,0.8370287637677231,76.0,14.317058738183093
all_concepts,0.9,single_risk,0.3298479914665222,0.8836741549794501,74.0,9.061804871181192
all_concepts,0.9,monotonic,0.3366372585296631,0.8783106857536277,72.0,10.24367435107054
all_concepts,0.9,both,0.3488297313451767,0.8976879046692977,68.0,7.95841050681933
all_concepts,0.95,unconstrained,0.2658843845129013,0.9884074970185356,66.0,12.097357787791616
all_concepts,0.95,single_risk,0.2964912801980972,0.9985459641891038,61.0,6.793612533895752
all_concepts,0.95,monotonic,0.3141887485980987,0.9983984908826976,62.0,10.725478060440498
all_concepts,0.95,both,0.3117391616106033,0.99900110755086,62.0,6.745957711442786
problem_analysis,EDGE,unconstrained,0.466359481215477,1.0,40.0,6.861790958825223
problem_analysis,EDGE,single_risk,0.4434771835803985,1.0,40.0,6.787356321839081
problem_analysis,EDGE,monotonic,0.4531171321868896,1.0,40.0,6.788245986064829
problem_analysis,EDGE,both,0.4495115727186203,1.0,40.0,6.739306899781455
problem_analysis,0.8,unconstrained,0.486846387386322,0.3231051650503831,61.0,12.03663892599518
problem_analysis,0.8,single_risk,0.5249010026454926,0.4593177361279533,59.0,10.57770343067763
problem_analysis,0.8,monotonic,0.5186579823493958,0.3977329286613772,54.0,9.737096052456952
problem_analysis,0.8,both,0.5089161396026611,0.4433954080183397,52.0,8.36536247763554
problem_analysis,0.85,unconstrained,0.4999673813581466,0.4421560669839996,58.0,13.599068075657982
problem_analysis,0.85,single_risk,0.5378205329179764,0.5734911271691753,43.0,11.21277298240649
problem_analysis,0.85,monotonic,0.5249892175197601,0.5310349912003992,47.0,10.148250165198064
problem_analysis,0.85,both,0.5204304903745651,0.5902527717872701,43.0,8.661824196767292
problem_analysis,0.9,unconstrained,0.4694752246141433,0.710394343577031,40.0,14.317058738183093
problem_analysis,0.9,single_risk,0.4867147952318191,0.8397587835397233,40.0,9.061804871181192
problem_analysis,0.9,monotonic,0.48230741918087,0.8042855623974084,40.0,10.24367435107054
problem_analysis,0.9,both,0.4822638183832168,0.8697681762761749,40.0,7.95841050681933
problem_analysis,0.95,unconstrained,0.4413648843765259,0.9707671576313556,40.0,12.097357787791616
problem_analysis,0.95,single_risk,0.4593249708414078,0.9973683980102156,40.0,6.793612533895752
problem_analysis,0.95,monotonic,0.4397119879722595,0.9977138821591964,40.0,10.725478060440498
problem_analysis,0.95,both,0.4735385030508041,0.9984398336618586,40.0,6.745957711442786
theoretical_insight,EDGE,unconstrained,0.4077548384666443,1.0,40.0,6.861790958825223
theoretical_insight,EDGE,single_risk,0.3929056972265243,1.0,40.0,6.787356321839081
theoretical_insight,EDGE,monotonic,0.3978018909692764,1.0,40.0,6.788245986064829
theoretical_insight,EDGE,both,0.3826689720153808,1.0,40.0,6.739306899781455
theoretical_insight,0.8,unconstrained,0.4786590486764908,0.4599726534359108,50.0,12.03663892599518
theoretical_insight,0.8,single_risk,0.472813218832016,0.5137262541873682,51.0,10.57770343067763
