edge_config,mode,cluster_id,cluster_size,n_interventions,design_count,training_count,deployment_count,design_pct,training_pct,deployment_pct,dominant_stage
0.8,unconstrained,3,380,380,271,94,15,0.7131578947368421,0.24736842105263157,0.039473684210526314,Design
0.8,unconstrained,1,58,58,19,7,32,0.3275862068965517,0.1206896551724138,0.5517241379310345,Deployment
0.8,unconstrained,13,68,68,12,12,44,0.17647058823529413,0.17647058823529413,0.6470588235294118,Deployment
0.8,unconstrained,9,154,154,22,3,129,0.14285714285714285,0.01948051948051948,0.8376623376623377,Deployment
0.8,unconstrained,5,41,41,4,37,0,0.0975609756097561,0.9024390243902439,0.0,Training
0.8,unconstrained,14,141,141,5,0,136,0.03546099290780142,0.0,0.9645390070921985,Deployment
0.8,unconstrained,10,226,226,2,0,224,0.008849557522123894,0.0,0.9911504424778761,Deployment
0.8,unconstrained,17,244,244,1,3,240,0.004098360655737705,0.012295081967213115,0.9836065573770492,Deployment
0.8,unconstrained,20,79,79,32,1,46,0.4050632911392405,0.012658227848101266,0.5822784810126582,Deployment
0.8,unconstrained,36,46,46,5,1,40,0.10869565217391304,0.021739130434782608,0.8695652173913043,Deployment
0.8,unconstrained,25,54,54,1,1,52,0.018518518518518517,0.018518518518518517,0.9629629629629629,Deployment
0.8,unconstrained,38,81,81,3,4,74,0.037037037037037035,0.04938271604938271,0.9135802469135802,Deployment
0.8,unconstrained,27,35,35,0,0,35,0.0,0.0,1.0,Deployment
0.8,unconstrained,23,26,26,0,0,26,0.0,0.0,1.0,Deployment
0.8,unconstrained,22,35,35,9,5,21,0.2571428571428571,0.14285714285714285,0.6,Deployment
0.8,unconstrained,26,51,51,1,0,50,0.0196078431372549,0.0,0.9803921568627451,Deployment
0.8,unconstrained,28,26,26,0,8,18,0.0,0.3076923076923077,0.6923076923076923,Deployment
0.8,unconstrained,37,21,21,0,0,21,0.0,0.0,1.0,Deployment
0.8,single_risk,0,527,527,88,406,33,0.16698292220113853,0.7703984819734345,0.06261859582542695,Training
0.8,single_risk,7,139,139,57,4,78,0.41007194244604317,0.02877697841726619,0.5611510791366906,Deployment
0.8,single_risk,14,57,57,0,55,2,0.0,0.9649122807017544,0.03508771929824561,Training
0.8,single_risk,10,328,328,5,3,320,0.01524390243902439,0.009146341463414634,0.975609756097561,Deployment
0.8,single_risk,25,228,228,19,32,177,0.08333333333333333,0.14035087719298245,0.7763157894736842,Deployment
0.8,single_risk,21,90,90,21,0,69,0.23333333333333334,0.0,0.7666666666666667,Deployment
0.8,single_risk,8,179,179,24,1,154,0.1340782122905028,0.00558659217877095,0.8603351955307262,Deployment
0.8,single_risk,4,388,388,17,1,370,0.04381443298969072,0.002577319587628866,0.9536082474226805,Deployment
0.8,single_risk,38,379,379,15,358,6,0.0395778364116095,0.9445910290237467,0.0158311345646438,Training
0.8,single_risk,24,30,30,0,26,4,0.0,0.8666666666666667,0.13333333333333333,Training
0.8,single_risk,39,337,337,68,3,266,0.20178041543026706,0.008902077151335312,0.7893175074183977,Deployment
0.8,single_risk,2,195,195,8,1,186,0.041025641025641026,0.005128205128205128,0.9538461538461539,Deployment
0.8,single_risk,26,144,144,12,1,131,0.08333333333333333,0.006944444444444444,0.9097222222222222,Deployment
0.8,single_risk,23,25,25,0,0,25,0.0,0.0,1.0,Deployment
0.8,single_risk,12,252,252,82,152,18,0.3253968253968254,0.6031746031746031,0.07142857142857142,Training
0.8,single_risk,27,41,41,15,10,16,0.36585365853658536,0.24390243902439024,0.3902439024390244,Deployment
0.8,single_risk,3,98,98,3,0,95,0.030612244897959183,0.0,0.9693877551020408,Deployment
0.8,single_risk,36,123,123,26,19,78,0.21138211382113822,0.15447154471544716,0.6341463414634146,Deployment
0.8,single_risk,22,30,30,20,4,6,0.6666666666666666,0.13333333333333333,0.2,Design
0.8,single_risk,18,165,165,34,6,125,0.20606060606060606,0.03636363636363636,0.7575757575757576,Deployment
0.8,single_risk,15,319,319,233,75,11,0.7304075235109718,0.23510971786833856,0.034482758620689655,Design
0.8,single_risk,17,39,39,15,4,20,0.38461538461538464,0.10256410256410256,0.5128205128205128,Deployment
0.8,single_risk,5,118,118,15,10,93,0.1271186440677966,0.0847457627118644,0.788135593220339,Deployment
0.8,single_risk,11,41,41,2,39,0,0.04878048780487805,0.9512195121951219,0.0,Training
0.8,single_risk,6,96,96,27,54,15,0.28125,0.5625,0.15625,Training
0.8,single_risk,9,210,210,2,0,208,0.009523809523809525,0.0,0.9904761904761905,Deployment
0.8,single_risk,30,235,235,1,3,231,0.00425531914893617,0.01276595744680851,0.9829787234042553,Deployment
0.8,single_risk,13,116,116,4,0,112,0.034482758620689655,0.0,0.9655172413793104,Deployment
0.8,single_risk,20,83,83,32,1,50,0.3855421686746988,0.012048192771084338,0.6024096385542169,Deployment
0.8,single_risk,37,47,47,6,9,32,0.1276595744680851,0.19148936170212766,0.6808510638297872,Deployment
0.8,single_risk,31,48,48,6,2,40,0.125,0.041666666666666664,0.8333333333333334,Deployment
0.8,single_risk,1,54,54,1,1,52,0.018518518518518517,0.018518518518518517,0.9629629629629629,Deployment
0.8,single_risk,29,35,35,0,0,35,0.0,0.0,1.0,Deployment
0.8,single_risk,16,33,33,0,1,32,0.0,0.030303030303030304,0.9696969696969697,Deployment
0.8,single_risk,33,28,28,0,0,28,0.0,0.0,1.0,Deployment
0.8,single_risk,32,54,54,1,0,53,0.018518518518518517,0.0,0.9814814814814815,Deployment
0.8,single_risk,35,23,23,0,0,23,0.0,0.0,1.0,Deployment
0.8,single_risk,28,26,26,0,8,18,0.0,0.3076923076923077,0.6923076923076923,Deployment
0.8,single_risk,34,30,30,2,27,1,0.06666666666666667,0.9,0.03333333333333333,Training
0.8,single_risk,19,25,25,0,0,25,0.0,0.0,1.0,Deployment
0.8,monotonic,1,523,523,28,482,13,0.05353728489483748,0.9216061185468452,0.0248565965583174,Training
0.8,monotonic,6,252,252,55,185,12,0.21825396825396826,0.7341269841269841,0.047619047619047616,Training
0.8,monotonic,18,95,95,6,83,6,0.06315789473684211,0.8736842105263158,0.06315789473684211,Training
0.8,monotonic,26,74,74,42,3,29,0.5675675675675675,0.04054054054054054,0.3918918918918919,Design
0.8,monotonic,7,268,268,26,28,214,0.09701492537313433,0.1044776119402985,0.7985074626865671,Deployment
0.8,monotonic,22,152,152,28,120,4,0.18421052631578946,0.7894736842105263,0.02631578947368421,Training
0.8,monotonic,0,258,258,146,90,22,0.5658914728682171,0.3488372093023256,0.08527131782945736,Design
0.8,monotonic,34,147,147,131,4,12,0.891156462585034,0.027210884353741496,0.08163265306122448,Design
0.8,monotonic,17,79,79,5,7,67,0.06329113924050633,0.08860759493670886,0.8481012658227848,Deployment
0.8,monotonic,31,26,26,0,0,26,0.0,0.0,1.0,Deployment
0.8,monotonic,2,172,172,53,39,80,0.3081395348837209,0.22674418604651161,0.46511627906976744,Deployment
0.8,monotonic,25,27,27,18,4,5,0.6666666666666666,0.14814814814814814,0.18518518518518517,Design
0.8,monotonic,36,186,186,7,1,178,0.03763440860215054,0.005376344086021506,0.956989247311828,Deployment
0.8,monotonic,19,103,103,9,3,91,0.08737864077669903,0.02912621359223301,0.883495145631068,Deployment
0.8,monotonic,20,174,174,20,1,153,0.11494252873563218,0.005747126436781609,0.8793103448275862,Deployment
0.8,monotonic,16,132,132,2,0,130,0.015151515151515152,0.0,0.9848484848484849,Deployment
