node_type,edge_config,mode,n_clusters,n_embeddings,n_edge_only,cluster_size_mean,cluster_size_median,cluster_size_std,cluster_size_min,cluster_size_max,silhouette_mean,silhouette_median,silhouette_min,silhouette_max,edge_validation_mean,edge_validation_min,edge_validation_max,n_pathways,path_length_mean,path_length_median
all_concepts,0.8,unconstrained,109,24260,17136,325.63758389261744,208.0,418.55990269553774,5,2864,0.3780267536640167,0.3780267536640167,0.3251969218254089,0.4308565855026245,0.4246792300796205,0.0,0.9411764705882352,10659319,12.03663892599518,11.0
all_concepts,0.8,single_risk,102,21856,16965,307.83098591549293,205.5,368.23553339399166,11,2613,0.3945150524377823,0.3945150524377823,0.3501696288585663,0.4388604760169983,0.4560301625778722,0.0,0.9411764705882352,440875,10.57770343067763,10.0
all_concepts,0.8,monotonic,99,20444,16668,294.158273381295,192.0,378.1583403089508,8,3029,0.3876021951436996,0.3876021951436996,0.3509326875209808,0.4242717027664184,0.4962761469823251,0.0222222222222222,1.0,4257205,9.737096052456952,10.0
all_concepts,0.8,both,98,19205,16604,278.3333333333333,167.0,322.781353136093,12,1928,0.3865845948457718,0.3865845948457718,0.3130707144737243,0.4600984752178192,0.513922198739044,0.032258064516129,0.989010989010989,216303,8.36536247763554,8.0
all_concepts,0.85,unconstrained,94,19358,17136,288.9253731343284,200.5,292.71038171742265,9,1704,0.3766130805015564,0.3766130805015564,0.316607117652893,0.4366190433502197,0.5379485537791294,0.0208333333333333,1.0,5688230,13.599068075657982,13.0
all_concepts,0.85,single_risk,100,17316,16965,247.37142857142857,160.0,279.9652106667424,11,1589,0.3674831390380859,0.3674831390380859,0.3155140578746795,0.4194522202014923,0.6157731664470136,0.0294117647058823,1.0,106005,11.21277298240649,10.0
all_concepts,0.85,monotonic,87,16428,16668,258.70866141732284,193.0,266.4678293869791,12,1665,0.3837045729160309,0.3837045729160309,0.3263478875160217,0.44106125831604,0.6389045551660909,0.0263157894736842,1.0,1581435,10.148250165198064,10.0
all_concepts,0.85,both,87,15599,16604,245.6535433070866,191.0,262.5627597402297,11,1739,0.3644327670335769,0.3644327670335769,0.3205189108848572,0.4083466231822967,0.6762575465559231,0.0344827586206896,1.0,55619,8.661824196767292,9.0
all_concepts,0.9,unconstrained,76,13687,17136,235.98275862068965,193.0,217.8932427129768,13,1224,0.35725998878479,0.35725998878479,0.3022253811359405,0.4122945964336395,0.8370287637677231,0.0256410256410256,1.0,1054527,14.317058738183093,13.0
all_concepts,0.9,single_risk,74,12836,16965,225.1929824561404,162.5,204.51555412872304,11,1122,0.3298479914665222,0.3298479914665222,0.2717058956623077,0.3879900872707367,0.8836741549794501,0.0416666666666666,1.0,7103,9.061804871181192,8.0
