edge_config,mode,node_type,cluster_id,year_min,year_max,year_range,year_mean,year_median,n_nodes_with_year,cluster_size
0.8,monotonic,intervention,38,2015,2023,8,2020.6666666666667,2021.0,30,30
0.8,monotonic,intervention,37,2012,2023,11,2020.801886792453,2022.0,212,212
0.8,monotonic,intervention,24,2013,2023,10,2021.1538461538462,2022.0,39,39
0.8,monotonic,intervention,28,2011,2022,11,2015.3714285714286,2015.0,35,35
0.8,monotonic,intervention,30,2009,2023,14,2020.8461538461538,2022.0,39,39
0.8,monotonic,intervention,5,2012,2023,11,2019.8529411764705,2020.0,34,34
0.8,monotonic,intervention,33,2003,2023,20,2018.4102564102564,2019.0,39,39
0.8,monotonic,intervention,27,2021,2023,2,2022.7894736842106,2023.0,19,19
0.8,monotonic,intervention,9,2020,2023,3,2021.5,2021.0,14,14
0.8,monotonic,intervention,11,2003,2023,20,2017.5238095238096,2017.0,21,21
0.8,monotonic,intervention,32,2016,2023,7,2020.6153846153845,2020.5,26,26
0.8,monotonic,intervention,29,2021,2023,2,2022.0,2022.0,6,6
0.8,monotonic,all_concepts,8,2010,2023,13,2019.657774390244,2020.0,1312,1312
0.8,monotonic,all_concepts,5,2003,2023,20,2020.4172025723474,2021.0,1244,1244
0.8,monotonic,all_concepts,0,1998,2023,25,2019.6505944517833,2020.0,3028,3029
0.8,monotonic,all_concepts,35,2010,2023,13,2019.4601769911505,2020.0,113,113
0.8,monotonic,all_concepts,15,2002,2023,21,2018.5601092896175,2019.0,366,371
0.8,monotonic,all_concepts,9,2003,2023,20,2017.3718487394958,2018.0,476,476
0.8,monotonic,all_concepts,2,2003,2023,20,2020.3805309734514,2021.0,904,906
0.8,monotonic,all_concepts,3,2008,2023,15,2020.8330341113106,2022.0,557,567
0.8,monotonic,all_concepts,11,2010,2023,13,2021.2835820895523,2022.0,335,357
0.8,monotonic,all_concepts,37,2008,2023,15,2020.2739273927393,2022.0,303,306
0.8,monotonic,all_concepts,1,2008,2023,15,2021.1873015873016,2022.0,630,638
0.8,monotonic,all_concepts,19,2006,2023,17,2020.7761394101876,2022.0,746,750
0.8,monotonic,all_concepts,26,2008,2023,15,2021.4130052724076,2022.0,1138,1150
0.8,monotonic,all_concepts,16,2003,2023,20,2020.1576787807737,2022.0,1706,1708
0.8,monotonic,all_concepts,24,2014,2023,9,2021.6121495327102,2022.0,214,214
0.8,monotonic,all_concepts,23,2009,2023,14,2020.4645669291338,2022.0,254,254
0.8,monotonic,all_concepts,30,2017,2023,6,2021.778409090909,2022.0,176,177
0.8,monotonic,all_concepts,10,2006,2023,17,2020.9261133603238,2022.0,988,989
0.8,monotonic,all_concepts,22,2012,2023,11,2021.367403314917,2022.0,362,363
0.8,monotonic,all_concepts,14,2013,2023,10,2021.5377358490566,2022.0,848,853
0.8,monotonic,all_concepts,36,2007,2023,16,2019.2324324324325,2019.0,185,185
0.8,monotonic,all_concepts,32,2008,2023,15,2019.7833333333333,2021.0,180,180
0.8,monotonic,all_concepts,12,2003,2023,20,2019.648888888889,2021.0,675,679
0.8,monotonic,all_concepts,7,2012,2023,11,2022.2495164410059,2023.0,517,517
0.8,monotonic,all_concepts,13,2014,2023,9,2021.1598173515981,2022.0,219,221
0.8,monotonic,all_concepts,6,2010,2023,13,2019.9116338207248,2020.0,1573,1574
0.8,monotonic,all_concepts,38,2016,2023,7,2020.6363636363637,2021.0,121,121
0.8,monotonic,all_concepts,4,2006,2023,17,2020.2463768115942,2021.0,345,345
0.8,monotonic,all_concepts,21,2006,2023,17,2020.8245614035088,2022.0,57,57
0.8,monotonic,all_concepts,17,2018,2023,5,2021.09375,2021.0,96,96
0.8,monotonic,all_concepts,29,2008,2023,15,2020.9840255591055,2022.0,313,313
0.8,monotonic,all_concepts,33,2008,2023,15,2019.2844036697247,2022.0,109,109
0.8,monotonic,all_concepts,18,2012,2023,11,2020.0987654320988,2020.0,81,81
0.8,monotonic,all_concepts,25,2022,2023,1,2022.2631578947369,2022.0,19,19
0.8,monotonic,all_concepts,31,2012,2023,11,2019.2222222222222,2020.0,45,45
0.8,monotonic,all_concepts,20,2022,2023,1,2022.591836734694,2023.0,49,49
0.8,monotonic,all_concepts,28,2013,2023,10,2020.9375,2022.0,32,32
0.8,monotonic,all_concepts,39,2008,2022,14,2015.5454545454545,2015.5,22,22
0.8,monotonic,all_concepts,27,2013,2022,9,2016.25,2017.0,8,8
0.8,monotonic,all_concepts,34,2015,2023,8,2021.357142857143,2021.5,14,14
0.8,monotonic,problem_analysis,22,2002,2023,21,2019.294498381877,2019.0,309,309
0.8,monotonic,problem_analysis,17,2006,2023,17,2019.460396039604,2021.0,202,203
0.8,monotonic,problem_analysis,6,2013,2023,10,2019.7666666666667,2021.0,90,90
0.8,monotonic,problem_analysis,1,2010,2023,13,2019.6103896103896,2020.0,231,231
0.8,monotonic,problem_analysis,28,2007,2023,16,2020.3524590163934,2021.0,366,367
0.8,monotonic,problem_analysis,24,2008,2023,15,2021.3861386138615,2022.0,101,109
0.8,monotonic,problem_analysis,34,2014,2023,9,2021.197080291971,2022.0,137,139
0.8,monotonic,problem_analysis,14,2008,2023,15,2021.551948051948,2022.0,308,313
0.8,monotonic,problem_analysis,11,2010,2023,13,2020.4125874125873,2022.0,143,144
0.8,monotonic,problem_analysis,23,2015,2023,8,2021.372340425532,2022.0,94,94
0.8,monotonic,problem_analysis,12,2014,2023,9,2021.6554621848738,2022.0,119,119
0.8,monotonic,problem_analysis,4,2008,2023,15,2020.56,2022.0,100,100
0.8,monotonic,problem_analysis,31,2012,2023,11,2020.4674556213017,2022.0,169,169
0.8,monotonic,problem_analysis,16,2018,2023,5,2022.6170212765958,2023.0,47,47
0.8,monotonic,problem_analysis,35,2008,2023,15,2021.2958333333333,2022.0,240,242
0.8,monotonic,problem_analysis,13,2009,2023,14,2020.1612903225807,2022.0,248,248
0.8,monotonic,problem_analysis,10,2003,2023,20,2021.1314285714286,2022.0,175,177
0.8,monotonic,problem_analysis,33,2010,2023,13,2021.0258620689656,2022.0,116,117
0.8,monotonic,problem_analysis,8,2009,2023,14,2020.899419729207,2022.0,517,519
0.8,monotonic,problem_analysis,30,2009,2023,14,2019.4807692307693,2020.5,52,52
0.8,monotonic,problem_analysis,20,2008,2023,15,2020.9464285714287,2022.0,280,280
0.8,monotonic,problem_analysis,37,2006,2023,17,2020.2916666666667,2022.0,72,72
0.8,monotonic,problem_analysis,25,2012,2023,11,2018.5,2020.0,16,16
0.8,monotonic,problem_analysis,2,2003,2023,20,2019.5454545454545,2021.0,231,231
0.8,monotonic,problem_analysis,7,2013,2023,10,2020.9794520547946,2022.0,292,292
