edge_config,mode,node_type,agg_silhouette,agg_n_clusters,louvain_silhouette,louvain_n_clusters,hdbscan_silhouette,hdbscan_n_clusters,hdbscan_noise_pct,sil_diff_louvain_minus_agg,sil_diff_hdbscan_minus_agg
0.8,unconstrained,problem_analysis,0.486846387386322,40,0.03144818916916847,61,0.4015451669692993,6,81.25,-0.45539819821715355,-0.0853012204170227
0.8,unconstrained,theoretical_insight,0.4786590486764908,40,0.025999464094638824,50,0.2496555745601654,3,84.75,-0.45265958458185196,-0.22900347411632538
0.8,unconstrained,design_rationale,0.4727051556110382,40,0.010566938668489456,43,0.23897872865200043,3,81.25,-0.46213821694254875,-0.23372642695903778
0.8,unconstrained,implementation_mechanism,0.4748826324939728,40,0.01646977849304676,52,0.3767295181751251,6,80.25,-0.458412854000926,-0.09815311431884766
0.8,unconstrained,validation_evidence,0.4495785981416702,40,0.026699405163526535,39,0.13875550031661987,2,36.25,-0.4228791929781437,-0.31082309782505035
0.8,single_risk,risk,0.510998860001564,40,0.011790105141699314,46,0.4601461589336395,6,74.25,-0.4992087548598647,-0.0508527010679245
0.8,single_risk,intervention,0.4711496233940124,40,0.02556329406797886,58,0.3680778443813324,5,75.5,-0.44558632932603354,-0.10307177901268
0.8,single_risk,all_concepts,0.3945150524377823,40,-0.04879172146320343,102,0.10622917860746384,2,71.5,-0.4433067739009857,-0.28828587383031845
0.8,single_risk,problem_analysis,0.5249010026454926,40,0.06163813918828964,59,0.17164969444274902,2,55.00000000000001,-0.4632628634572029,-0.35325130820274353
0.8,single_risk,theoretical_insight,0.472813218832016,40,0.03992651402950287,51,0.1072598397731781,2,74.0,-0.4328867048025131,-0.3655533790588379
0.8,single_risk,design_rationale,0.4719841778278351,40,0.01450831163674593,42,0.30542895197868347,3,88.25,-0.45747586619108915,-0.1665552258491516
0.8,single_risk,implementation_mechanism,0.4983018934726715,40,0.02441905252635479,49,0.35301971435546875,5,80.75,-0.4738828409463167,-0.14528217911720276
0.8,single_risk,validation_evidence,0.4800420701503753,40,0.01930122822523117,44,0.1677633821964264,2,53.25,-0.46074084192514414,-0.3122786879539489
0.8,monotonic,risk,0.5334789454936981,40,0.03599638491868973,76,0.3111926317214966,2,63.74999999999999,-0.4974825605750084,-0.22228631377220154
0.8,monotonic,intervention,0.5077061355113983,40,0.013559951446950436,46,0.4066523611545563,4,80.0,-0.4941461840644479,-0.10105377435684204
0.8,monotonic,all_concepts,0.3876021951436996,40,-0.027338895946741104,99,0.21181002259254456,2,87.0,-0.4149410910904407,-0.17579217255115503
0.8,monotonic,problem_analysis,0.5186579823493958,40,0.030275216326117516,54,0.1927000731229782,2,67.25,-0.48838276602327824,-0.32595790922641754
0.8,monotonic,theoretical_insight,0.4658544063568115,40,0.022315632551908493,44,0.21023374795913696,3,82.75,-0.44353877380490303,-0.25562065839767456
0.8,monotonic,design_rationale,0.4532527923583984,40,0.011304855346679688,41,0.2964925169944763,2,77.5,-0.4419479370117187,-0.15676027536392206
0.8,monotonic,implementation_mechanism,0.4882283210754394,40,0.015161119401454926,42,0.1314532309770584,2,53.5,-0.47306720167398447,-0.356775090098381
0.8,monotonic,validation_evidence,0.4860376715660095,40,0.0340200774371624,38,0.17355939745903015,2,86.25,-0.4520175941288471,-0.31247827410697937
0.8,both,risk,0.5432822406291962,40,-0.01016081590205431,48,0.4051141142845154,8,68.0,-0.5534430565312505,-0.1381681263446808
0.8,both,intervention,0.4936717599630356,40,0.016413791105151176,50,0.1297360062599182,2,42.75,-0.4772579688578844,-0.36393575370311737
0.8,both,all_concepts,0.3865845948457718,40,-0.02394096925854683,98,0.24308668076992035,3,87.0,-0.4105255641043186,-0.14349791407585144
0.8,both,problem_analysis,0.5089161396026611,40,0.061525195837020874,52,0.12675845623016357,2,41.75,-0.44739094376564026,-0.38215768337249756
0.8,both,theoretical_insight,0.4179163426160812,40,0.0047760698944330215,44,0.13992035388946533,2,55.75,-0.41314027272164816,-0.27799598872661585
0.8,both,design_rationale,0.3848444819450378,40,0.0059646014124155045,38,0.17957107722759247,2,68.0,-0.3788798805326223,-0.20527340471744532
0.8,both,implementation_mechanism,0.4546392410993576,40,0.028562692925333977,44,0.37160706520080566,3,84.25,-0.42607654817402363,-0.08303217589855194
0.8,both,validation_evidence,0.4581232517957687,40,-0.00034522355417720973,38,0.13591189682483673,2,40.75,-0.4584684753499459,-0.32221135497093195
0.85,unconstrained,risk,0.5808558762073517,40,0.023625332862138748,66,0.48795583844184875,4,61.75000000000001,-0.5572305433452129,-0.09290003776550293
0.85,unconstrained,intervention,0.4964408427476883,40,0.015170100145041943,44,0.47188130021095276,6,78.5,-0.48127074260264635,-0.024559542536735535
0.85,unconstrained,all_concepts,0.3766130805015564,40,0.006422890350222588,94,0.3661101758480072,2,93.0,-0.3701901901513338,-0.010502904653549194
