edge_config,mode,cluster_id,cluster_size,n_unique_risk_categories,is_multi_risk,categories
0.9,unconstrained,37,33,1,False,risk
0.9,unconstrained,27,44,1,False,risk
0.9,unconstrained,3,50,1,False,risk
0.9,unconstrained,18,60,1,False,risk
0.9,unconstrained,28,45,1,False,risk
0.9,unconstrained,32,23,1,False,risk
0.9,unconstrained,39,10,1,False,risk
0.9,unconstrained,29,15,1,False,risk
0.9,unconstrained,30,39,1,False,risk
0.9,unconstrained,23,20,1,False,risk
0.9,unconstrained,36,3,1,False,risk
0.9,unconstrained,13,4,1,False,risk
0.95,unconstrained,5,88,1,False,risk
0.95,unconstrained,12,78,1,False,risk
0.95,unconstrained,15,152,1,False,risk
0.95,unconstrained,8,103,1,False,risk
0.95,unconstrained,7,103,1,False,risk
0.95,unconstrained,2,85,1,False,risk
0.95,unconstrained,23,36,1,False,risk
0.95,unconstrained,3,181,1,False,risk
0.95,unconstrained,21,89,1,False,risk
0.95,unconstrained,30,109,1,False,risk
0.95,unconstrained,4,72,1,False,risk
0.95,unconstrained,6,105,1,False,risk
0.95,unconstrained,20,145,1,False,risk
0.95,unconstrained,18,63,1,False,risk
0.95,unconstrained,10,168,1,False,risk
0.95,unconstrained,16,102,1,False,risk
0.95,unconstrained,24,76,1,False,risk
0.95,unconstrained,31,36,1,False,risk
0.95,unconstrained,28,102,1,False,risk
0.95,unconstrained,22,21,1,False,risk
0.95,unconstrained,36,32,1,False,risk
0.95,unconstrained,1,107,1,False,risk
0.95,unconstrained,29,40,1,False,risk
0.95,unconstrained,32,66,1,False,risk
0.95,unconstrained,26,56,1,False,risk
0.95,unconstrained,9,205,1,False,risk
0.95,unconstrained,19,99,1,False,risk
0.95,unconstrained,14,55,1,False,risk
0.95,unconstrained,39,27,1,False,risk
0.95,unconstrained,38,125,1,False,risk
0.95,unconstrained,33,35,1,False,risk
0.95,unconstrained,0,80,1,False,risk
0.95,unconstrained,34,60,1,False,risk
0.95,unconstrained,25,51,1,False,risk
0.95,unconstrained,11,185,1,False,risk
0.95,unconstrained,35,28,1,False,risk
0.95,unconstrained,27,14,1,False,risk
0.95,unconstrained,37,25,1,False,risk
0.95,unconstrained,17,19,1,False,risk
0.95,unconstrained,13,4,1,False,risk
