risk_cid,interv_cid,key,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost,c2_boost
6.0,1.0,6_1,1,67,476,66,409
4.0,26.0,4_26,128,198,470,70,272
4.0,4.0,4_4,3,51,470,48,419
15,24,15_24,0,78,469,78,391
6.0,32.0,6_32,16,78,457,62,379
12,24,12_24,0,42,450,42,408
2.0,10.0,2_10,9,65,442,56,377
2.0,15.0,2_15,2,54,438,52,384
9.0,1.0,9_1,17,94,437,77,343
38,6,38_6,0,2,431,2,429
0.0,35.0,0_35,1,64,431,63,367
26,19,26_19,0,68,429,68,361
8,8,8_8,0,156,427,156,271
2,26,2_26,0,47,426,47,379
9.0,32.0,9_32,2,58,422,56,364
34,35,34_35,0,110,422,110,312
20,38,20_38,0,19,420,19,401
1,26,1_26,0,26,419,26,393
2.0,39.0,2_39,16,68,419,52,351
12,26,12_26,0,11,415,11,404
12.0,38.0,12_38,2,8,415,6,407
31,8,31_8,0,12,413,12,401
22.0,26.0,22_26,1,24,413,23,389
7.0,38.0,7_38,1,4,412,3,408
7,6,7_6,0,20,410,20,390
35,6,35_6,0,80,403,80,323
16.0,17.0,16_17,4,93,400,89,307
4.0,11.0,4_11,1,24,399,23,375
25,19,25_19,0,41,398,41,357
32,8,32_8,0,98,398,98,300
18,4,18_4,0,42,395,42,353
10,29,10_29,0,98,395,98,297
4,24,4_24,0,23,390,23,367
7,39,7_39,0,18,387,18,369
20,10,20_10,0,44,386,44,342
0.0,5.0,0_5,28,89,386,61,297
0.0,6.0,0_6,25,113,386,88,273
26,27,26_27,0,59,385,59,326
12.0,10.0,12_10,3,56,384,53,328
1.0,15.0,1_15,1,33,383,32,350
34.0,5.0,34_5,5,102,381,97,279
20,39,20_39,0,59,380,59,321
11,5,11_5,0,7,379,7,372
1.0,10.0,1_10,8,55,378,47,323
12.0,15.0,12_15,1,19,374,18,355
25,17,25_17,0,131,371,131,240
20,26,20_26,0,38,371,38,333
20.0,15.0,20_15,5,76,370,71,294
21,27,21_27,0,78,368,78,290
16,27,16_27,0,68,366,68,298
11,4,11_4,0,18,364,18,346
24.0,35.0,24_35,5,80,361,75,281
17.0,4.0,17_4,6,48,359,42,311
19.0,24.0,19_24,2,55,358,53,303
1.0,39.0,1_39,5,60,357,55,297
25,27,25_27,0,75,356,75,281
6.0,23.0,6_23,6,50,348,44,298
35.0,10.0,35_10,1,57,347,56,290
26.0,25.0,26_25,1,2,346,1,344
38,38,38_38,0,9,346,9,337
7.0,15.0,7_15,1,17,345,16,328
11.0,11.0,11_11,10,37,344,27,307
26.0,17.0,26_17,1,118,341,117,223
22,38,22_38,0,8,339,8,331
26,23,26_23,0,7,339,7,332
18,6,18_6,0,14,338,14,324
22.0,15.0,22_15,2,38,336,36,298
